Delay,Bandwidth,Source IP address,Destination IP address,date_year,date_month_no,date_day,hour,min,sec
0.119472,1506,57,83,2022,8,9,14,17,49
0,322,57,83,2022,8,9,14,17,49
0.000379,74,82,61,2022,8,9,14,17,49
0.001671,116,82,61,2022,8,9,14,17,49
0.004093,1506,57,83,2022,8,9,14,17,49
0,781,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000136,74,82,61,2022,8,9,14,17,49
0.009307,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000275,74,82,61,2022,8,9,14,17,49
0.000152,1506,57,83,2022,8,9,14,17,49
4.60E-05,74,82,61,2022,8,9,14,17,49
9.80E-05,1344,57,83,2022,8,9,14,17,49
9.00E-05,74,82,61,2022,8,9,14,17,49
0.003158,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
6.20E-05,74,82,61,2022,8,9,14,17,49
7.20E-05,1344,57,83,2022,8,9,14,17,49
4.40E-05,74,82,61,2022,8,9,14,17,49
0.006751,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0.000397,74,82,61,2022,8,9,14,17,49
0.013526,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000199,74,82,61,2022,8,9,14,17,49
0.003351,1344,57,83,2022,8,9,14,17,49
0.000148,74,82,61,2022,8,9,14,17,49
0.000286,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0,1344,57,83,2022,8,9,14,17,49
0.000192,74,82,61,2022,8,9,14,17,49
0.000161,1506,57,83,2022,8,9,14,17,49
0,1506,57,83,2022,8,9,14,17,49
0.000162,74,82,61,2022,8,9,14,17,49
0.009038,1344,57,83,2022,8,9,14,17,49
