,Delay,Date,Time,Source IP address,Destination IP address,Bandwidth,date_year,date_month_no,date_day,hour,min,sec
238,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
239,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
240,0.000154,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
241,0.00473,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
242,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
243,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
244,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
245,0.000172,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
246,0.006821,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
247,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
248,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
249,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
250,0.000185,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
251,0.010215,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
252,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
253,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
254,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
255,0.000164,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
256,0.00138,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
257,9e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
258,0.008242,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
259,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
260,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
261,0.000178,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
262,0.004585,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
263,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1414,2022,8,9,14,16,28
264,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
265,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
266,0.000361,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
267,0.134031,2022-08-09,2022-08-29 14:16:28,45,83,1079,2022,8,9,14,16,28
268,0.0,2022-08-09,2022-08-29 14:16:28,45,83,112,2022,8,9,14,16,28
269,0.000141,2022-08-09,2022-08-29 14:16:28,82,49,74,2022,8,9,14,16,28
270,0.302279,2022-08-09,2022-08-29 14:16:28,27,18,1506,2022,8,9,14,16,28
271,0.000122,2022-08-09,2022-08-29 14:16:28,18,27,54,2022,8,9,14,16,28
272,0.015428,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
273,0.000144,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
274,0.002308,2022-08-09,2022-08-29 14:16:28,82,61,1474,2022,8,9,14,16,28
275,0.0,2022-08-09,2022-08-29 14:16:28,82,61,1374,2022,8,9,14,16,28
276,0.002681,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
277,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
278,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
279,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
280,0.00058,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
281,0.020626,2022-08-09,2022-08-29 14:16:28,18,27,219,2022,8,9,14,16,28
282,0.004407,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
283,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
284,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
285,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
286,0.000218,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
